127.0.0.1 - - [13/May/2024:09:59:40 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/May/2024:10:00:04 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 500 2598
0:0:0:0:0:0:0:1 - - [13/May/2024:10:00:04 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [13/May/2024:10:00:54 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 11975
0:0:0:0:0:0:0:1 - - [13/May/2024:10:00:54 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:02:04 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 11975
0:0:0:0:0:0:0:1 - - [13/May/2024:10:02:04 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:02:06 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 11975
0:0:0:0:0:0:0:1 - - [13/May/2024:10:02:06 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:02:30 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 11975
0:0:0:0:0:0:0:1 - - [13/May/2024:10:02:30 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:02:30 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 11975
0:0:0:0:0:0:0:1 - - [13/May/2024:10:02:30 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:03:35 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 11975
0:0:0:0:0:0:0:1 - - [13/May/2024:10:03:35 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:03:36 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 11975
0:0:0:0:0:0:0:1 - - [13/May/2024:10:03:36 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:04:02 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 11975
0:0:0:0:0:0:0:1 - - [13/May/2024:10:04:02 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:04:59 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 11975
0:0:0:0:0:0:0:1 - - [13/May/2024:10:04:59 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:04:59 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [13/May/2024:10:05:55 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [13/May/2024:10:05:56 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:05:56 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 13976
